CVE ID,Category,Date,Time Gap (Days)
CVE-2021-27928,Exec Code Sql,2021-03-19,0,
CVE-2021-2154,,2021-04-22,34,
CVE-2020-15180,Exec Code Sql,2021-05-27,35,
CVE-2020-7221,,2020-02-04,478,
CVE-2017-16046,,2018-06-04,610,
CVE-2017-15365,Bypass,2018-01-25,130,
CVE-2017-3302,,2017-02-12,347,
CVE-2016-8283,,2016-10-25,110,
CVE-2016-7440,,2016-12-13,49,
CVE-2016-6664,+Priv,2016-12-13,0,
CVE-2016-6663,+Priv,2016-12-13,0,
CVE-2016-6662,Exec Code Bypass,2016-09-20,84,
CVE-2016-5635,,2016-10-25,35,
CVE-2016-5634,,2016-10-25,0,
CVE-2016-5633,,2016-10-25,0,
CVE-2016-5632,,2016-10-25,0,
CVE-2016-5631,,2016-10-25,0,
CVE-2016-5630,,2016-10-25,0,
CVE-2016-5629,,2016-10-25,0,
CVE-2016-5628,,2016-10-25,0,
CVE-2016-5627,,2016-10-25,0,
CVE-2016-5626,,2016-10-25,0,
CVE-2016-5625,,2016-10-25,0,
CVE-2016-5612,,2016-10-25,0,
CVE-2016-5609,,2016-10-25,0,
CVE-2016-5584,+Info,2016-10-25,0,
CVE-2016-5507,,2016-10-25,0,
CVE-2016-5444,,2016-07-21,96,
CVE-2016-5440,,2016-07-21,0,
CVE-2016-3615,,2016-07-21,0,
CVE-2016-3521,,2016-07-21,0,
CVE-2016-3495,,2016-10-25,96,
CVE-2016-3492,,2016-10-25,0,
CVE-2016-3477,,2016-07-21,96,
CVE-2016-3459,,2016-07-21,0,
CVE-2016-3452,,2016-07-21,0,
CVE-2016-2047,,2016-01-27,176,
CVE-2016-0668,,2016-04-21,85,
CVE-2016-0666,,2016-04-21,0,
CVE-2016-0655,,2016-04-21,0,
CVE-2016-0650,,2016-04-21,0,
CVE-2016-0649,,2016-04-21,0,
CVE-2016-0648,,2016-04-21,0,
CVE-2016-0647,,2016-04-21,0,
CVE-2016-0646,,2016-04-21,0,
CVE-2016-0644,,2016-04-21,0,
CVE-2016-0643,,2016-04-21,0,
CVE-2016-0641,,2016-04-21,0,
CVE-2016-0640,,2016-04-21,0,
CVE-2016-0616,,2016-01-21,91,
CVE-2016-0610,,2016-01-21,0,
CVE-2016-0609,,2016-01-21,0,
CVE-2016-0608,,2016-01-21,0,
CVE-2016-0606,,2016-01-21,0,
CVE-2016-0600,,2016-01-21,0,
CVE-2016-0598,,2016-01-21,0,
CVE-2016-0597,,2016-01-21,0,
CVE-2016-0596,,2016-01-21,0,
CVE-2016-0546,Overflow,2016-01-21,0,
CVE-2016-0505,,2016-01-21,0,
CVE-2015-3152,,2016-05-16,116,
CVE-2014-6559,,2014-10-15,579,
CVE-2014-6555,,2014-10-15,0,
CVE-2014-6507,,2014-10-15,0,
CVE-2014-6500,,2014-10-15,0,
CVE-2014-6496,,2014-10-15,0,
CVE-2014-6494,,2014-10-15,0,
CVE-2014-6491,,2014-10-15,0,
CVE-2014-6469,,2014-10-15,0,
CVE-2014-6464,,2014-10-15,0,
CVE-2014-0001,DoS Exec Code Overflow,2014-01-31,257,
CVE-2013-1861,DoS Overflow,2013-03-28,309,
CVE-2012-5627,Exec Code,2013-10-01,187,
CVE-2012-5615,+Info,2012-12-03,302,
CVE-2012-5614,DoS,2012-12-03,0,
CVE-2012-4414,Exec Code Sql,2013-01-22,50,
CVE-2012-2122,Bypass,2012-06-26,210,
