CVE ID,Category,Date,Time Gap (Days)
CVE-2021-20333,,7/23/2021,0
CVE-2021-20326,DoS,4/30/2021,84
CVE-2020-7929,DoS,3/1/2021,60
CVE-2020-7928,,11/23/2020,98
CVE-2020-7926,DoS,11/23/2020,0
CVE-2020-7925,DoS,11/23/2020,0
CVE-2020-7923,DoS,8/21/2020,94
CVE-2020-7921,Bypass,5/6/2020,107
CVE-2019-20925,DoS,11/24/2020,202
CVE-2019-20924,DoS,11/23/2020,1
CVE-2019-20923,DoS,11/23/2020,0
CVE-2019-2393,DoS,11/23/2020,0
CVE-2019-2392,DoS Overflow,11/23/2020,0
CVE-2019-2389,,8/30/2019,451
CVE-2019-2386,,8/6/2019,24
CVE-2018-25004,DoS,3/1/2021,573
CVE-2018-20805,DoS,11/23/2020,98
CVE-2018-20804,DoS,11/23/2020,0
CVE-2018-20803,DoS,11/23/2020,0
CVE-2018-20802,DoS,11/23/2020,0
CVE-2017-18381,,7/30/2019,482
CVE-2017-15535,,11/1/2017,636
CVE-2017-14227,DoS,9/9/2017,53
CVE-2017-2665,,7/6/2018,300
CVE-2016-6494,#NAME?,10/3/2016,641
CVE-2016-3104,DoS,4/14/2017,193
CVE-2015-7882,,7/19/2019,826
CVE-2015-1609,DoS,3/30/2015,1572
CVE-2014-3971,DoS,12/25/2014,95
CVE-2013-4650,,7/4/2013,539
CVE-2013-3969,DoS Exec Code,10/1/2013,89
CVE-2013-2132,DoS,8/15/2013,47
CVE-2013-1892,DoS Exec Code,10/1/2013,47
CVE-2012-6619,DoS,3/6/2014,156
